Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
391322,1127741,4181245,1598861,349528,429750,861914,1810013,737745,2433,144277,18,Campfire Cooking Easy Recipes Cooking Grill Cast Iron 
1519149,363503,1943345,143072,115879,988886,136703,110365,1279316,81571,245486,708,Mexican Food Easy Recipe Book 
22989,1072146,3900846,3211964,555558,763926,76632,1881214,203270,1038708,1658197,15,eat peas English picture book children 
1282206,884497,1199281,1100882,497581,1073303,1169574,862293,771272,1337936,2775805,17,Hello Spaghetti Squash Recipes Best Spaghetti Squash Cookbook 
6179,0,0,0,0,0,0,0,0,0,0,2,The Restaurant A Year History Dining Out — 
3255,249574,1680330,592753,27794,457224,17261,9168,3526,735,36777,48,Air Fryer Cookbook The Top Quick Easy Recipes 
1667337,0,0,0,0,0,0,0,0,0,0,2,An Everlasting Meal Cooking Economy Grace 
14773,94089,137034,0,0,0,0,0,0,0,0,4,Homemade canning cookbook Best preserving recipes pickles vegetables 
6013,0,0,0,0,0,0,0,0,0,0,2,The Complete Summer Cookbook Beat Heat Recipes Make 
348490,685,53548,517492,324223,67082,24887,44345,371762,106826,105332,247,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
1159078,27794,195124,3551,11770,18656,212155,14802,30303,60819,572371,315,Days Cookie Recipes A Cookie Cookbook Over Recipes 
465672,106082,212004,365895,6087,5025,8004,17195,347365,227093,30893,87,The New Camp Cookbook 
108685,0,0,0,0,0,0,0,0,0,0,2,Ruffage A Practical Guide Vegetables 
48290,0,0,0,0,0,0,0,0,0,0,2,Days Real Food Fast Fabulous The Easy Delicious 
592502,94927,168455,646580,40586,195124,28787,143777,348614,4622,760049,13,Season Big Flavors Beautiful Food 
6013,0,0,0,0,0,0,0,0,0,0,2,Copycat Recipes Texas Roadhouse A StepbyStep Cookbook Guide 
35642,533124,16135,65535,239370,594026,126653,23646,8464,3255,272349,739,Keto Diet Instant Pot Cookbook Ingredients Keto Diet 
6858915,6272,0,0,0,0,0,0,0,0,0,3,Sous Vide Everybody The Easy Foolproof Cooking Technique 
3786864,0,0,0,0,0,0,0,0,0,0,2,Nothing Fancy Unfussy Food Having People Over 
60819,170097,93710,19330,39357,25833,0,0,0,0,0,7,The Oh She Glows Cookbook Over Vegan Recipes 
33829,98558,8087,74248,9525,2405,1041,331376,313,64204,0,67,Foodi Digital Air Fry Oven Cookbook Beginners Simple 
131810,103624,2792726,70339,166634,1298379,5796,1272244,22635,94927,2489779,16,Spice Mixes Spices And Herbs Mixes From Around 
1112829,163177,2254345,247497,405789,1419192,1064202,80401,88861,317207,2116,81,The Farm Cooking School 
8514,323168,1206,640371,357044,226904,242768,874,63844,2151996,1411443,87,The PlantBased Diet Beginners The Health Benefits Eating 
97097,0,0,0,0,0,0,0,0,0,0,2,Best Holiday Dishes Vegans Your Life Amazing Recipes 
357044,31116,6272,323235,121554,347721,87197,14802,24824,63390,612493,44,Vegetarian Instant Pot Healthy PlantBased Recipes Make Quick 
2471,0,0,0,0,0,0,0,0,0,0,2,Food Live By The Earthbound Farm Organic Cookbook 
0,99177,558,0,0,0,0,0,0,0,0,4,Whats Gaby Cooking Eat What You Want Recipes 
25131,32323,0,0,0,0,0,0,0,0,0,3,See You Sunday A Cookbook Family Friends 
66877,518706,271100,280214,0,0,0,0,0,0,0,5,Sababa Fresh Sunny Flavors From My Israeli Kitchen 
103163,84123,242629,0,0,0,0,0,0,0,0,4,Campfire Cooking Recipes Cook Flames Foil Packets Dutch 
27944,0,0,0,0,0,0,0,0,0,0,2,Top Most Delicious Homemade Popsicle Recipes ice pops 
2000,0,0,0,0,0,0,0,0,0,0,2,Magnolia Table Volume A Collection Recipes Gathering 
418493,71529,822779,695425,1521707,83251,961712,558,1162968,89956,133474,13,Mediterranean Diet Beginners Everything You Need Get Started 
508105,31705,2000,83464,0,0,0,0,0,0,0,5,Magnolia Table A Collection Recipes Gathering 
33688,2531,0,0,0,0,0,0,0,0,0,3,Dining In Highly Cookable Recipes A Cookbook 
6946,13193,1242,122387,58022,53303,0,0,0,0,0,7,Six Seasons A New Way Vegetables 
0,1989025,1539937,233307,0,0,0,0,0,0,0,5,Keto Ice Cream Homemade KetoFriendly Ice Creams Frozen 
99995,0,0,0,0,0,0,0,0,0,0,2,Dinner French My Recipes Way France A Cookbook 
886257,10439,0,0,0,0,0,0,0,0,0,3,Days Real Food On Budget Simple Tips Tasty 
1915035,602459,17918,58788,166044,76113,237469,179266,35446,1906607,496447,59,Comfort food soothe soul 
1911398,0,0,0,0,0,0,0,0,0,0,2,Milk Street The New Rules Recipes That Will 
141374,1430,4055,0,0,0,0,0,0,0,0,4,Food Jars Preserving Small Batches YearRound 
433684,0,0,0,0,0,0,0,0,0,0,2,The Art Simple Food Notes Lessons Recipes Delicious 
234332,2231037,457304,328029,244277,1451597,29800,1378195,53956,1416,917812,13,Delicious Sweet Potato Recipes – Tasty Healthy Sweet 
709388,0,54028,282936,173359,746335,8309,0,0,0,0,8,The Complete Cooks Country TV Show Cookbook Season 
460993,95117,4055,0,0,0,0,0,0,0,0,4,Canning Preserving Food Beginners Essential Cookbook How Can 
1816580,0,0,0,0,0,0,0,0,0,0,2,The AutumnTime Cookbook Delicious Autumn Recipes Leaves Change 
599843,0,0,0,0,0,0,0,0,0,0,2,Christmas Highclere Recipes traditions real Downton Abbey 
824627,111074,84335,1825642,55233,159145,1096290,113305,454314,2156091,520429,16,Easy Frozen Ice Pop Recipes – The Ice 
120881,181238,1506756,681645,819907,117184,463202,6268,253975,6153,1902298,46,Homemade Ice Cream Quick Easy Homemade Ice Cream 
59750,511474,43555,0,0,0,0,0,0,0,0,4,Pam Jam The Book Preserves 
1242,122387,15,47689,27794,4950,3505,17111,8309,12212,33329,32,The Smitten Kitchen Cookbook 
14773,0,0,0,0,0,0,0,0,0,0,2,DIY Pickling Beginners Guide To Easy StepByStep Fermented 
140665,0,0,0,0,0,0,0,0,0,0,2,Amish Canning Preserving How Make Soups Sauces Pickles 
646969,1313,429827,19808,76113,563633,167787,63390,205959,720325,88054,21,Everyday Food Great Food Fast Recipes Easy Delicious 
88625,162475,108419,47411,154942,221423,76113,0,19545,86632,11820,35,The Food Cookbook Winning Recipes Exceptional Home Cooks 
345760,257048,11339,0,0,0,0,0,0,0,0,4,The Home Preserving Bible A Complete Guide Every 
384455,26640,3526,490,12168,1175863,44345,1041,222177,0,0,10,Nuwave Air Fryer Oven Cookbook Beginners Amazingly Easy 
1416,6272,186864,79848,88979,12451,319,85357,9168,2036,4619,62,Instant Pot Cookbook Beginners Master Your Instant Pot 
322979,0,0,0,0,0,0,0,0,0,0,2,The Ultimate Cookbook African Jollof rice African Recipes 
1032,1042797,0,0,0,0,0,0,0,0,0,3,Air Fryer Accessories Recipe Cookbook Best Fresh Healthy 
210322,17111,27794,326962,6272,43480,32765,97954,41404,319,165835,70,Weeknight Meals Cookbook Two Easy Healthy Dinner Recipes 
581145,0,0,0,0,0,0,0,0,0,0,2,Inversion Therapy Neck Back Pain How Use Inversion 
20358,0,0,0,0,0,0,0,0,0,0,2,Mastering The Keto Meal Prep The Ultimate Guide 
97097,0,0,0,0,0,0,0,0,0,0,2,Best Holiday Dishes Vegans Your Life Amazing Recipes 
259485,9259,8636,219134,86469,78528,163231,103813,63390,515840,1668,363,Easy Baking Quick And Easy Pies Recipes For 
45981,112760,407700,348035,171980,299456,132375,108,88750,1006625,0,11,Complete Electric Smoker Cookbook Delicious Electric Smoker Recipes 
88122,464665,835366,340764,192245,17105,188286,437337,84741,346771,152516,20,Easy Recipes Perfect Any Occasion 
247787,403155,335905,1075695,119086,7243,774363,16322,0,0,0,9,THE COMPLETE INSTANT POT COOKBOOK Over Quick Foolproof 
53548,44345,12711,348490,52632,324223,67082,371762,106826,24887,517492,247,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
1869303,0,0,0,0,0,0,0,0,0,0,2,Ceramic Titanium Cookbook Delicious Non Stick Recipes Your 
549236,3150,76113,129675,76029,94610,319,531251,800068,6232,19808,312,Meal Prep Delicious And Simple Meal Prep Recipes 
534644,514271,296983,177619,171980,351427,22724,116360,57656,90817,177306,47,Wood Pellet Smoker Grill Cookbook The Ultimate Guide 
480836,690942,288423,1929100,0,0,0,0,0,0,0,5,GoWise USA Air Fryer Recipe Cookbook Made Air 
16322,14802,22469,19808,109151,6272,39115,3255,14363,21909,214890,340,The Quick Easy Cookbook Tasty New Recipes You 
44345,735,7243,106826,88447,22469,16135,27794,1267415,3255,39776,188,Keto Air Fryer Cookbook Easy Healthy Low Carb 
286841,98558,0,0,0,0,0,0,0,0,0,3,Crisper Basket® Recipe Cookbook Nonstick Copper Tray Works 
372624,0,0,0,0,0,0,0,0,0,0,2,Anova Sous Vide Cookbook Best Complete Effortless Meals 
9801,16135,129753,7896,374718,13229,3255,2151,54539,159429,154633,522,Instant Pot Cookbook LowCarb Easy Healthy Instant Pot 
55105,411092,247787,67380,145832,319,36777,186864,319094,2401,2267,307,Instant Pot Cookbook Beginners Instant Pot Budget Cookbook 
51860,65817,443371,276,836807,9259,0,133934,101643,3255,255896,643,Easy Baking Quick And Easy Bread Recipes For 
126653,75807,27794,65535,24887,57960,58788,124331,48848,597504,68671,71,CROCK POT Delicious Healthy Crock Pot Recipes Crock 
671971,57934,88122,231199,1902298,582688,39802,362806,95319,32739,120881,12,Making Ice Cream Cuisinart Ice Cream Maker Good 
16882,27794,48848,14049,58788,272350,66445,979192,7243,3573,786975,46,Delicious Keto Desserts Best Tasty Low Carb Recipes 
168652,372624,1226455,1374927,40586,929454,637081,872048,331376,784855,1184050,13,Sous Vide Cookbook The Essential Beginners Guide For 
339714,88054,678418,8027,753164,31516,425399,165835,335905,7243,65535,289,THE KETO INSTANT POT COOKBOOK Quick Easy Delicious 
1206250,786975,710233,0,0,0,0,0,0,0,0,4,Keto Drinks Tasty Ketogenic Cocktails Warm Drinks Lemonades 
190200,719797,519321,764791,94498,598454,281083,500736,1392781,375907,142551,105,Keto Savory Fat Bombs Savory Fat Bombs Recipes 
786975,1017634,918582,2337752,1050776,218623,0,0,0,0,0,7,The Everything Cocktail Parties And Drinks Book The 
384618,69105,911,1279316,12499,11738,613,40232,21657,336175,33386,88,Easy Thanksgiving The Paleo Lowcarb Way 
0,2599538,103624,961712,133474,418493,89956,822779,1610114,71529,0,11,Mediterranean Diet Cookbook Beginners All Need get Started 
1812886,1277,331786,0,0,0,0,0,0,0,0,4,Electric Smoker Meat Recipes Complete Guide Tips Tricks 
36298,0,0,0,0,0,0,0,0,0,0,2,Easy healthy food instant pot cookbook Current recipes 
826652,1179699,3052987,948548,1744700,2993081,0,0,0,0,0,7,The Everything Slow Cooking For A Crowd Cookbook 
307626,0,0,0,0,0,0,0,0,0,0,2,Party People How We Make Millions Having Fun 
716801,16525,584406,5028,4117,53956,92296,302415,1799480,593277,4291696,128,Juicing Recipes Weight loss Detox Healthy Living 
39115,0,0,0,0,0,0,0,0,0,0,2,Mexican Cookbook Fish Recipes With Videos 
64483,68099,3270892,0,0,0,0,0,0,0,0,4,Low Carb Paleo Christmas Healthy Easy Recipes Based 
0,1173330,105217,3255,276,76113,14675,304553,787481,125723,219325,875,PALEO FOOD LIST Paleo Diet Food List For 
