Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
539918,484322,316,1271349,8265,62254,99112,540900,88287,51517,1094602,54,Air Fryer Cookbook For Beginners In Easy Healthy 
2661541,2550425,0,0,0,0,0,0,0,0,0,3,The Easy GlutenFree Cookbook Fast FussFree Recipes Busy 
3145552,523356,874962,937276,1765241,904395,1224062,515251,4576968,4947220,1253462,12,Things To Do With Potato 
6543,59516,12577,59616,1172,117269,0,0,0,0,0,7,Six Seasons A New Way Vegetables 
1150930,294352,31575,15388,323173,64835,924253,113543,1411925,295075,6801,19,The Complete Vegan Instant Pot Cookbook Delicious WholeFood 
42099,188082,684,46094,60819,24661,0,0,0,0,0,7,The Oh She Glows Cookbook Over Vegan Recipes 
109744,36390,108455,1162184,167263,55833,30436,87502,167899,590005,109744,349,Edible Wild Plants 
15247,106957,906042,2957,15388,98489,100017,0,0,0,0,8,The PlantBased Diet Beginners Delicious Healthy WholeFood Recipes 
121558,1370109,2773130,186129,1512711,17418,977264,8549,87911,411703,2350,28,THE GARDEN GURU ’ S GUIDE TO PRESERVING 
54701,337723,97605,342571,77,47876,39328,216247,186967,48290,54631,50,The New Vegetarian Cooking Everyone A Cookbook ] 
645356,198627,74590,0,0,0,0,0,0,0,0,4,But I Could Never Go Vegan Recipes That 
98158,364166,32107,29329,0,0,0,0,0,0,0,5,BOSH Simple Recipes Amazing Food All Plants BOSH 
1085251,212523,2421610,1232576,13748,34007,1772982,1233845,114623,948894,0,11,Days Spiralizer Recipes A Spiralizer Cookbook Over Recipes 
874,0,0,0,0,0,0,0,0,0,0,2,Bish Bash Bosh Your Favorites All Plants BOSH 
952318,120807,118920,120227,973835,12395,181103,76042,15270,779760,853307,12,The Plant Paradox Cookbook Delicious Recipes Help You 
88168,0,0,0,0,0,0,0,0,0,0,2,The Essential Vegetable Cookbook Simple Satisfying Ways Eat 
909272,415932,12506,14053,1677535,1062749,707437,567007,1063009,491290,178256,13,LowCarb Vegetarian Cookbook Easy Recipes KickStart Meal Plan 
107354,76147,16322,54752,3325,41763,1246262,143687,179796,144616,220419,62,The Healthy Air Fryer Cookbook Truly Healthy Fried 
41761,24661,22989,354524,0,0,0,0,0,0,0,5,Rachel Ama ’ Vegan Eats Tasty plantbased recipes 
8514,15007,224580,64793,2957,12506,22277,119038,78266,599629,358150,342,Eating Vegan A PlantBased Cookbook Beginners 
