
107318,744782,0,0,0,0,0,0,0,0,0,0,2,Instant Pot Cookbook Enjoy Food Become More Productive 
3152363,508422,1945577,1395001,2197822,1000000,1215974,3318214,2052970,0,0,0,9,Sandwich Sandwich Recipes Youll Love 
1000448,489599,549733,1043191,171021,163914,1970,5417,2095541,214211,0,0,10,Sandwich Press Recipes A Complete Cookbook Sandwich Meal 
612019,154481,107177,90073,86027,312787,1160029,18034,676884,1225511,466805,594472,42,The Breakfast Sandwich Maker Cookbook Delicious Recipes 
85686,336838,261110,74381,967928,78744,299173,560158,212245,884260,16454,233195,45,FAT BOMBS SWEET AND SAVORY KETO TREATS FOR 
491644,468739,1627288,1988110,1000000,0,0,0,0,0,0,0,5,Keto Ice Cream Homemade KetoFriendly Ice Creams Frozen 
75444,295673,213869,356449,589352,200547,127231,410375,112250,194764,86339,590063,321,Keto Bread Keto Desserts Recipe Cookbook Easy Low 
348048,96447,590063,717549,1000000,163917,634069,397717,356449,237095,200547,399826,94,KETOGENIC BREAD COOKBOOK LOAVES LOW CARB KETO LOAVES 
417539,18175,447807,249415,251428,7385,7769,29916,27811,3720,33450,564125,51,Dr Kellyanns Bone Broth Diet Lose Up Pounds 
2181775,2692,149811,9923,1464461,46985,2956912,159695,912521,1102466,1901623,977609,130,PALEO Paleo Diet For Rapid Weight Loss Lose 
25365,1065369,4591,0,0,0,0,0,0,0,0,0,3,Trim Healthy Mamas Trim Healthy Table More Than 
87178,685395,100752,736921,84684,140161,0,0,0,0,0,0,6,The Big Paleo Cookbook Fundamental Ingredients Paleo Diet 
4635352,56061,2910783,104890,682501,3310271,57766,43934,96649,106058,132713,69982,20,Wheat Belly Lose Wheat Lose Weight Find Your 
61885,66699,102837,21625,63254,680203,42702,120308,0,0,0,0,8,Danielle Walkers Against All Grain Meals Made Simple 
19908,44404,20928,128120,22659,338973,29132,254604,2861,11836,2692,22852,21,The Wholesome Yum Easy Keto Cookbook Simple Low 
1719230,20444,2328159,200687,335774,0,0,0,0,0,0,0,5,Always Hungry Conquer Cravings Retrain Your Fat Cells 
535169,1157862,1000000,1695,105733,0,0,0,0,0,0,0,5,Ketotarian The Mostly PlantBased Plan Burn Fat Boost 
61885,182,42702,0,0,0,0,0,0,0,0,0,3,Danielle Walkers Eat What You Love Everyday Comfort 
87178,144005,2846066,35330,1205010,146161,678344,162180,1580312,3076384,108530,309746,26,The Minute Paleo Cookbook Delicious Recipes Busy People 
70659,162180,499379,360748,68338,0,0,0,0,0,0,0,5,LOW CARB ICE CREAM Best Homemade Gluten Free 
284350,59050,139381,142605,31065,29132,38781,470296,38781,2861,2552303,22085,43,Paleo Beginners Essentials Get Started 
1094330,1957861,63682,350629,31318,223918,1249382,770673,1193865,1178722,228270,1524613,19,PALEO DIET FOR BEGINNERS THE SECRETS OF RAPID 
1738,53623,5043,0,0,0,0,0,0,0,0,0,3,Dinner Instant Modern Recipes Your Pressure Cooker Multicooker 
20152,206339,63970,407016,216553,35229,0,0,0,0,0,0,6,The Paleo Solution The Original Human Diet 
988270,662773,770910,45840,18099,1523190,614064,17123,1067290,2025944,378190,499828,12,The Hashimotos AIP Cookbook Easy Recipes Thyroid Healing 
360758,9704,8509,0,0,0,0,0,0,0,0,0,3,The Wahls Protocol A Radical New Way Treat 
1055428,434698,7561,132713,31794,606948,846580,185847,1296910,2054433,258429,0,11,The Keto Reset Diet Reboot Your Metabolism Days 
715249,158836,0,0,0,0,0,0,0,0,0,0,2,The Salt Fix Why Experts Got It All 
65242,261873,96845,2880300,247170,425715,1133970,900155,881947,0,0,0,9,KETO SOUPS OVER AMAZING KETO SOUPS FOR ALL 
82320,221213,0,0,0,0,0,0,0,0,0,0,2,The Wahls Protocol Cooking Life The Revolutionary Modern 
668135,392045,41776,629140,1000000,65484,57867,1000000,258429,23520,567416,127756,491,Keto Instant Ketogenic Recipes Your Instant Pot 
46573,292466,0,0,0,0,0,0,0,0,0,0,2,Trim Healthy Mama Plan The EasyDoesIt Approach Vibrant 
182,10785,0,0,0,0,0,0,0,0,0,0,2,Trim Healthy Mama Cookbook Eat Up Slim Down 
82661,2757,557142,105253,31794,2861,36541,162180,54100,31065,11604,29132,82,The Paleo Day Challenge A Paleo Cookbook Lose 
565799,667696,862769,88151,851164,535169,56186,764101,147231,410375,44404,49335,46,Dairy Free Keto Cookbook Beginners Guide NonDairy Ketogenic 
222021,568912,0,0,0,0,0,0,0,0,0,0,2,LowFODMAP Paleo Cookbook The Revolutionary Diet Managing IBS 
43934,4625681,69641,132713,222796,0,0,0,0,0,0,0,5,Carnivore Diet Easy Meat Based Recipes Natural Weight 
